itemname,tablename,action,condition,status,description,tags,notes,RunTime
Set Repair Capacity,ProductionConstraints,"Status='Include'","Notes = 'Repair_Capacity'",,,,,2023-04-14 13:17:22
SOIP Run - Include Plan Issues,CustomerFulfillmentPolicies,"Status='Include'","SOIPPlan LIKE 'Y*'",,,,,2023-04-14 13:17:22
SOIP Run - Exclude All Issue Lanes,CustomerFulfillmentPolicies,"Status='Exclude'",,,,,,2023-04-14 13:17:22
Storage - No Issues,CustomerFulfillmentPolicies,"Status='Exclude'","DepotType LIKE 'Storage*'",,,,,2023-04-14 13:17:22
Coon Rapids Storage - Services Hugo Only SS (1),ReplenishmentPolicies,"Status='Exclude'","(FacilityName LIKE 'D_USA55433_68886*') AND (SourceName != 'D_USA55038_46360') AND (Notes LIKE 'Baseline_Transfers*')",,,,,2023-04-14 13:17:22
Hazleton Storage - Services Hazleton Only SS (1),ReplenishmentPolicies,"Status='Exclude'","(FacilityName LIKE 'D_USA18202_68941*') AND (SourceName != 'D_USA18202_50843') AND (Notes LIKE 'Baseline_Transfers*')",,,,,2023-04-14 13:17:22
Set Depot Capacity,InventoryConstraints,"Status='Include'","Notes = 'Depot_Capacity'",,,,,2023-04-14 13:17:22
Max WIP Inventory - Expression Constraints,UserDefinedConstraints,"Status='Include'","ConstraintName LIKE 'MaxWIPInventory*'",,,,,2023-04-14 13:17:22
Salinas - No WIP,ReplenishmentPolicies,"ProductName='RFU'","FacilityName LIKE 'D_USA93901_68910*'",,,,,2023-04-14 13:17:22
Sorts Matrix - Include Preferred Assignment PP Closing,ReplenishmentPolicies,"Status='Include'","(FacilityName LIKE 'D_USA12085_70318*') AND (SourceName LIKE 'D_USA12078_58950*' OR SourceName LIKE 'D_USA12303_59141*')",,,,,2023-04-14 13:17:22
Sorts Matrix - Include Preferred Assignment PP Closing 2,ReplenishmentPolicies,"Status='Include'","(FacilityName LIKE 'D_USA12078_58950*' OR FacilityName LIKE 'D_USA12303_59141*') AND (SourceName LIKE 'D_USA12085_70318*')",,,,,2023-04-14 13:17:22
Transfers Repair Only,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND (ODepotType LIKE 'Repair Only*') AND (DDepotType LIKE 'DO NOT USE*' OR DDepotType LIKE 'Distributor Sort*' OR DDepotType LIKE 'Renter Sort*' OR DDepotType LIKE 'Manufacturing*')",,,,,2023-04-14 13:17:22
Transfers Storage,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND (ODepotType LIKE 'Storage*') AND (DDepotType LIKE 'DO NOT USE*' OR DDepotType LIKE 'Distributor Sort*' OR DDepotType LIKE 'Manufacturing*' OR DDepotType LIKE 'Renter Sort*' OR DDepotType LIKE 'Storage*')",,,,,2023-04-14 13:17:22
Transfers MFG,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND (ODepotType LIKE 'Manufacturing*') AND (DDepotType LIKE 'DO NOT USE*' OR DDepotType LIKE 'Manufacturing*' OR DDepotType LIKE 'Distributor Sort*' OR DDepotType LIKE 'Repair Only*' OR DDepotType LIKE 'Renter Sort*')",,,,,2023-04-14 13:17:22
SOIP Run - Exclude Returns With No Supply,Facilities,"FacilityStatus='Exclude'","(FacilityName LIKE 'R*') AND (InSOIPModel LIKE 'N*')",,,,,2023-04-14 13:17:22
Closed Sites - Exclude,Facilities,"FacilityStatus='Exclude'","(FacilityName LIKE 'D*') AND (Closed LIKE 'YES*')",,,,,2023-04-14 13:17:22
Sites - Do Not Use Depots,Facilities,"FacilityStatus='Exclude'","(FacilityName LIKE 'D*') AND (DepotType = 'DO NOT USE')",,,,,2023-04-14 13:17:22
Storage - No Returns,ReplenishmentPolicies,"Status='Exclude'","(SourceName LIKE 'R*') AND (DDepotType LIKE 'Storage*')",,,,,2023-04-14 13:17:22
All - Site Sourcing 1500Miles_Open_CPU_Ded,ReplenishmentPolicies,"Status='Include'","(Notes LIKE '*Returns') AND (GreenfieldCandidate LIKE 'Y*') AND (Distance <= 1500) AND (SOIPPlan = 'N') AND ((PPCRFQ = 'BLANK' Or PPCRFQ = ''))",,,,,2023-04-14 13:17:22
No Returns to Manufacturing,ReplenishmentPolicies,"Status='Exclude'","(SourceName LIKE 'R*') AND (DDepotType LIKE 'Manufacturing*')",,,,,2023-04-14 13:17:22
All - Cust Sourcing 1000Miles_Open_CPU_Ded,CustomerFulfillmentPolicies,"Status='Include'","(GreenfieldCandidate LIKE 'Y*') AND (Distance <= 1000) AND (SOIPPlan = 'N') AND ((PPCRFQ = 'BLANK' Or PPCRFQ = ''))",,,,,2023-04-14 13:17:22
New Lane Rates - TG Policies - Include,TransportationPolicies,"Status='Include'","Notes LIKE 'NewAllToAll*'",,,,,2023-04-14 13:17:22
Sorts Matrix - To All - Exclude,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND (ODepotType LIKE 'Distributor Sort*' OR ODepotType LIKE 'Renter Sort*') AND ((DDepotType != 'BLANK' AND DDepotType != ''))",,,,,2023-04-14 13:17:22
